response,model_id,model_label,status,nobs,AIC,BIC,logLik,converged,pdHess,warning_message,delta_AIC,uses_depth,depth_mode,random_mode,fixed_mode
chu,YM_year_month_Dc_Rav,year + month + depth_cat + offset + (1|area) + (1|vessel),completed,1016,8338.41588127028,8441.812082461187,-4148.20794063514,TRUE,TRUE,,0,TRUE,cat,area_vessel,year_month
chu,YM_year_month_D0_Rav,year + month + offset + (1|area) + (1|vessel),completed,1016,8339.85291326427,8433.4018571989,-4150.926456632135,TRUE,TRUE,,1.4370319939898764,FALSE,none,area_vessel,year_month
chu,YM_year_month_D2_Rav,year + month + depth_quad + offset + (1|area) + (1|vessel),completed,1016,8340.690402937807,8444.086604128714,-4149.345201468904,TRUE,TRUE,,2.274521667526642,TRUE,quad,area_vessel,year_month
chu,Y_year_only_Dc_Rav,year + depth_cat + offset + (1|area) + (1|vessel),completed,1016,8353.435338921467,8402.671625202851,-4166.717669460733,TRUE,TRUE,,15.019457651185803,TRUE,cat,area_vessel,year_only
chu,Y_year_only_D2_Rav,year + depth_quad + offset + (1|area) + (1|vessel),completed,1016,8355.653505411366,8404.88979169275,-4167.826752705683,TRUE,TRUE,,17.23762414108569,TRUE,quad,area_vessel,year_only
chu,Y_year_only_D0_Rav,year + offset + (1|area) + (1|vessel),completed,1016,8356.255028803766,8395.644057828873,-4170.127514401883,TRUE,TRUE,,17.83914753348472,FALSE,none,area_vessel,year_only
chu,YM_year_month_Dc_Ra,year + month + depth_cat + offset + (1|area),completed,1016,8389.70120557532,8488.173778138089,-4174.85060278766,TRUE,TRUE,,51.28532430503947,TRUE,cat,area,year_month
chu,YM_year_month_D0_Ra,year + month + offset + (1|area),completed,1016,8393.347885899268,8481.97320120576,-4178.673942949634,TRUE,TRUE,,54.93200462898676,FALSE,none,area,year_month
chu,YM_year_month_D2_Ra,year + month + depth_quad + offset + (1|area),completed,1016,8394.161694278082,8492.63426684085,-4177.080847139041,TRUE,TRUE,,55.74581300780119,TRUE,quad,area,year_month
chu,Y_year_only_Dc_Ra,year + depth_cat + offset + (1|area),completed,1016,8410.19236509312,8454.505022746365,-4196.09618254656,TRUE,TRUE,,71.77648382283951,TRUE,cat,area,year_only
